term,IRR,std.error,statistic,p.value,lower_CI,upper_CI,sig_label
mutation_classC->T:speciessagalactiae,1.261,0.3673,0.6314,0.5278,0.6115,2.6004,ns
mutation_classT->A:speciessagalactiae,0.5244,0.374,-1.726,0.0843,0.2506,1.0974,ns
mutation_classT->C:speciessagalactiae,0.7731,0.3692,-0.6968,0.4859,0.3732,1.6016,ns
mutation_classT->G:speciessagalactiae,0.3449,0.3731,-2.8537,0.0043,0.1652,0.7199,**
mutation_classC->G:speciessaureus,0.964,0.3753,-0.0977,0.9222,0.4604,2.0188,ns
mutation_classC->T:speciessaureus,1.4836,0.3668,1.0754,0.2822,0.7204,3.0553,ns
mutation_classT->A:speciessaureus,0.9202,0.3719,-0.2236,0.8231,0.4421,1.9158,ns
mutation_classT->C:speciessaureus,1.2241,0.3684,0.5489,0.5831,0.5922,2.53,ns
mutation_classT->G:speciessaureus,0.3912,0.3713,-2.5274,0.0115,0.1882,0.8133,*
mutation_classC->G:speciessepidermidis,0.7802,0.3766,-0.659,0.5099,0.3718,1.6373,ns
mutation_classC->T:speciessepidermidis,1.3958,0.367,0.9086,0.3635,0.6776,2.8753,ns
mutation_classT->A:speciessepidermidis,1.2554,0.3719,0.6115,0.5409,0.6031,2.6136,ns
mutation_classT->C:speciessepidermidis,0.7387,0.3688,-0.8213,0.4115,0.3572,1.5278,ns
mutation_classT->G:speciessepidermidis,0.3885,0.3717,-2.5437,0.011,0.1868,0.8081,*
mutation_classC->G:speciesspneumoniae,0.7902,0.3835,-0.614,0.5392,0.372,1.6783,ns
mutation_classC->T:speciesspneumoniae,1.7132,0.3689,1.4595,0.1444,0.8288,3.5412,ns
mutation_classT->A:speciesspneumoniae,0.5686,0.3785,-1.4915,0.1358,0.2697,1.1989,ns
mutation_classT->C:speciesspneumoniae,1.034,0.3712,0.09,0.9283,0.4976,2.1484,ns
mutation_classT->G:speciesspneumoniae,0.6566,0.3753,-1.1209,0.2623,0.3136,1.3748,ns
